"","Especie","Registros","GBIF","CBC","Reino","Filo","Clase","Orden","Familia","Género"
"25","Acacia verticillata",1,"https://www.gbif.org/species/2979292",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"26","Acaciella angustissima",4,"https://www.gbif.org/species/2981071",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acaciella"
"27","Acaena argentea",7,"https://www.gbif.org/species/5370675",NA,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"28","Acaena cylindristachya",241,"https://www.gbif.org/species/5371112","https://catalogo.biodiversidad.co/file/56c40215f0106c67230e7372/summary","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"29","Acaena elongata",103,"https://www.gbif.org/species/5370941","https://catalogo.biodiversidad.co/file/56c408aaf0106c67230e7375/summary","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"30","Acaena ovalifolia",6,"https://www.gbif.org/species/5370651",NA,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"31","Acalymma bivittulum",2,"https://www.gbif.org/species/8820189",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Acalymma"
"32","Acalymma vittatum",1,"https://www.gbif.org/species/1047583",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Acalymma"
"33","Acalypha alopecuroidea",8,"https://www.gbif.org/species/6374020",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"34","Acalypha alopecuroides",1,"https://www.gbif.org/species/3056763",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"35","Acalypha amentacea",1,"https://www.gbif.org/species/3057201",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"36","Acalypha arvensis",2,"https://www.gbif.org/species/3056742",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"37","Acalypha cuneata",27,"https://www.gbif.org/species/3056769",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"38","Acalypha diversifolia",168,"https://www.gbif.org/species/3056298",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"39","Acalypha hispida",12,"https://www.gbif.org/species/3056375","https://catalogo.biodiversidad.co/file/595a77f32f4fd7bc7f39e07c/summary","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"40","Acalypha lycioides",1,"https://www.gbif.org/species/3056731",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"41","Acalypha macrostachya",318,"https://www.gbif.org/species/3056437","https://catalogo.biodiversidad.co/file/595a7c9a2f4fd7bc7f39e11c/summary","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"42","Acalypha muelleriana",3,"https://www.gbif.org/species/3055984",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"43","Acalypha mutisii",6,"https://www.gbif.org/species/3056616",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"44","Acalypha padifolia",17,"https://www.gbif.org/species/3057370",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"45","Acalypha schiedeana",26,"https://www.gbif.org/species/3056536",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"46","Acalypha setosa",5,"https://www.gbif.org/species/3055977",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"47","Acalypha villosa",37,"https://www.gbif.org/species/3056634",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"48","Acalypha wilkesiana",3,"https://www.gbif.org/species/3057221","https://catalogo.biodiversidad.co/file/595a766e2f4fd7bc7f39dfe0/summary","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"49","Acanthaegilips ashmeadi",1,"https://www.gbif.org/species/11502015",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Figitidae","Acanthaegilips"
"50","Acanthagrion inexpectum",1,"https://www.gbif.org/species/1422441",NA,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Acanthagrion"
"51","Acanthagrion kennedii",1,"https://www.gbif.org/species/1422443",NA,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Acanthagrion"
"52","Acanthocereus tetragonus",27,"https://www.gbif.org/species/3084455","https://catalogo.biodiversidad.co/file/5fe4b3bfc0512fd6120b40d3/summary","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Acanthocereus"
"53","Acanthocladus colombianus",2,"https://www.gbif.org/species/7434040",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Polygalaceae","Acanthocladus"
"54","Acanthocoleus aberrans",1,"https://www.gbif.org/species/2688850",NA,"Plantae","Marchantiophyta","Jungermanniopsida","Porellales","Lejeuneaceae","Acanthocoleus"
"55","Acanthoctenus spinipes",3,"https://www.gbif.org/species/2152321",NA,"Animalia","Arthropoda","Arachnida","Araneae","Ctenidae","Acanthoctenus"
"56","Acanthognathus ocellatus",1,"https://www.gbif.org/species/5035426",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Acanthognathus"
"57","Acanthops falcata",8,"https://www.gbif.org/species/1404264",NA,"Animalia","Arthropoda","Insecta","Mantodea","Acanthopidae","Acanthops"
"58","Acanthopus palmatus",2,"https://www.gbif.org/species/5975278",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Acanthopus"
"59","Acanthoscelides argillaceus",1,"https://www.gbif.org/species/6949433",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Acanthoscelides"
"60","Acanthoscelides desmanthi",1,"https://www.gbif.org/species/1047507",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Acanthoscelides"
"61","Acanthoscelides obtectus",12,"https://www.gbif.org/species/1047525",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Acanthoscelides"
"62","Acanthoscurria musculosa",1,"https://www.gbif.org/species/2153808",NA,"Animalia","Arthropoda","Arachnida","Araneae","Theraphosidae","Acanthoscurria"
"63","Acanthospermum australe",3,"https://www.gbif.org/species/3100364",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acanthospermum"
"64","Acanthospermum hispidum",11,"https://www.gbif.org/species/3100375",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acanthospermum"
"65","Acanthostachys strobilacea",1,"https://www.gbif.org/species/2693693",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Acanthostachys"
"66","Acanthothecis tetraphora",1,"https://www.gbif.org/species/2601668",NA,"Fungi","Ascomycota","Lecanoromycetes","Ostropales","Graphidaceae","Acanthothecis"
"67","Acanthus mollis",6,"https://www.gbif.org/species/5415455",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Acanthus"
"68","Acanthus montanus",1,"https://www.gbif.org/species/5573815",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Acanthus"
"69","Acaronia nassa",1,"https://www.gbif.org/species/2373152",NA,"Animalia","Chordata",NA,"Perciformes","Cichlidae","Acaronia"
"70","Acaulimalva purpurea",9,"https://www.gbif.org/species/3934980",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Acaulimalva"
"71","Acaulospora colombiana",1,"https://www.gbif.org/species/7900830","https://catalogo.biodiversidad.co/file/56e79aca83c45700544e420d/summary","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora"
"72","Accipiter bicolor",29,"https://www.gbif.org/species/2480599","https://catalogo.biodiversidad.co/file/56be509ef0106c67230e72f3/summary","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"73","Accipiter collaris",9,"https://www.gbif.org/species/2480593","https://catalogo.biodiversidad.co/file/56d676f03c16479905cba90c/summary","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"74","Accipiter cooperii",1,"https://www.gbif.org/species/2480621","https://catalogo.biodiversidad.co/file/56d67e013c16479905cba90d/summary","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"75","Accipiter striatus",483,"https://www.gbif.org/species/9740253","https://catalogo.biodiversidad.co/file/56bcf0f6f0106c67230e72e8/summary","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"76","Accipiter superciliosus",1,"https://www.gbif.org/species/2480580","https://catalogo.biodiversidad.co/file/56e77d4a83c45700544e4049/summary","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"77","Acestrocephalus anomalus",9,"https://www.gbif.org/species/2353364","https://catalogo.biodiversidad.co/file/5917874bf827bf0c0ced6257/summary","Animalia","Chordata",NA,"Characiformes","Characidae","Acestrocephalus"
"78","Achatocarpus nigricans",42,"https://www.gbif.org/species/3752400",NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Achatocarpaceae","Achatocarpus"
"79","Achillea millefolium",22,"https://www.gbif.org/species/3120060",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea"
"80","Achimenes erecta",1,"https://www.gbif.org/species/5589891",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Gesneriaceae","Achimenes"
"81","Achimenes longiflora",1,"https://www.gbif.org/species/6365250",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Gesneriaceae","Achimenes"
"82","Achlyodes busirus",2,"https://www.gbif.org/species/1945462",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Achlyodes"
"83","Achlyodes pallida",140,"https://www.gbif.org/species/1945476",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Achlyodes"
"84","Achlyodes thraso",7,"https://www.gbif.org/species/1945477",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Achlyodes"
"85","Achnanthes catenata",1,"https://www.gbif.org/species/7950802",NA,"Chromista","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthaceae","Achnanthes"
"86","Achnanthes conspicua",1,"https://www.gbif.org/species/2630693",NA,"Chromista","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthaceae","Achnanthes"
"87","Achnanthes exigua",11,"https://www.gbif.org/species/7972839",NA,"Chromista","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthaceae","Achnanthes"
"88","Achnanthes minutissima",5,"https://www.gbif.org/species/7934456",NA,"Chromista","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthaceae","Achnanthes"
"89","Achnanthes subatomus",2,"https://www.gbif.org/species/8229138",NA,"Chromista","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthaceae","Achnanthes"
"90","Achnanthes subhudsonis",3,"https://www.gbif.org/species/2630581",NA,"Chromista","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthaceae","Achnanthes"
"91","Achnanthidium cadimae",1,"https://www.gbif.org/species/8391335",NA,"Chromista","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthidiaceae","Achnanthidium"
"92","Achryson surinamum",3,"https://www.gbif.org/species/1118163",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Achryson"
"93","Achyranthes aspera",18,"https://www.gbif.org/species/3085168",NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Achyranthes"
"94","Achyrocline alata",17,"https://www.gbif.org/species/3139547",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achyrocline"
"95","Achyrocline bogotensis",63,"https://www.gbif.org/species/3139539",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achyrocline"
"96","Achyrocline crassiceps",34,"https://www.gbif.org/species/3139563",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achyrocline"
"97","Achyrocline lehmannii",37,"https://www.gbif.org/species/3139541",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achyrocline"
"98","Achyrocline mollis",2,"https://www.gbif.org/species/3139587",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achyrocline"
"99","Achyrocline satureioides",71,"https://www.gbif.org/species/3139534","https://catalogo.biodiversidad.co/file/5fe4092ef1c567b30853ce23/summary","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achyrocline"
"100","Achyrocline vargasiana",4,"https://www.gbif.org/species/3139590",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achyrocline"
"101","Aciachne acicularis",3,"https://www.gbif.org/species/4140730",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aciachne"
"102","Aciachne pulvinata",2,"https://www.gbif.org/species/4140684",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aciachne"
"103","Acianthera aphthosa",1,"https://www.gbif.org/species/2839487",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Acianthera"
"104","Acianthera capillaris",1,"https://www.gbif.org/species/2839569",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Acianthera"
"105","Acianthera decurrens",2,"https://www.gbif.org/species/2839799",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Acianthera"
"106","Acianthera pantasmoides",1,"https://www.gbif.org/species/2839752",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Acianthera"
"107","Acianthera polystachya",67,"https://www.gbif.org/species/8385149",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Acianthera"
"108","Acianthera ramosa",1,"https://www.gbif.org/species/2839929",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Acianthera"
"109","Acianthera sicaria",8,"https://www.gbif.org/species/2839584",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Acianthera"
"110","Acianthera testifolia",2,"https://www.gbif.org/species/7501860",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Acianthera"
"111","Acidocroton gentryi",9,"https://www.gbif.org/species/3055950",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acidocroton"
"112","Acidodontium megalocarpum",12,"https://www.gbif.org/species/2677015",NA,"Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae","Acidodontium"
"113","Acidodontium rhamphostegium",1,"https://www.gbif.org/species/2677016","https://catalogo.biodiversidad.co/file/61c4837059897f8b237a6042/summary","Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae","Acidodontium"
"114","Acidodontium seminerve",2,"https://www.gbif.org/species/2677006",NA,"Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae","Acidodontium"
"115","Acineta erythroxantha",2,"https://www.gbif.org/species/5310307","https://catalogo.biodiversidad.co/file/56bd010df0106c67230e72ea/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Acineta"
"116","Acineta superba",4,"https://www.gbif.org/species/5310292","https://catalogo.biodiversidad.co/file/56cd2347207ecea54a561e64/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Acineta"
"117","Aciotis acuminifolia",1,"https://www.gbif.org/species/3862481",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","Aciotis"
"118","Aciotis indecora",13,"https://www.gbif.org/species/3862080",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","Aciotis"
"119","Aciotis olivieriana",1,"https://www.gbif.org/species/3861956",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","Aciotis"
"120","Aciotis purpurascens",4,"https://www.gbif.org/species/3861822","https://catalogo.biodiversidad.co/file/5957d5c52f4fd7bc7f39cb53/summary","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","Aciotis"
"121","Acisanthera quadrata",1,"https://www.gbif.org/species/3188616",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","Acisanthera"
"122","Acmella brachyglossa",12,"https://www.gbif.org/species/5386734",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acmella"
"123","Acmella ciliata",36,"https://www.gbif.org/species/5386775",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acmella"
"124","Acmella radicans",3,"https://www.gbif.org/species/5386729",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acmella"
"125","Acmella repens",22,"https://www.gbif.org/species/5386723",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acmella"
"126","Acmella uliginosa",3,"https://www.gbif.org/species/5386720",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acmella"
"127","Aconitum napellus",1,"https://www.gbif.org/species/3033665",NA,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aconitum"
"128","Aconophora compressa",1,"https://www.gbif.org/species/2023722",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Membracidae","Aconophora"
"129","Aconophora elongata",1,"https://www.gbif.org/species/2023717",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Membracidae","Aconophora"
"130","Aconophora elongatiformis",3,"https://www.gbif.org/species/2023728",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Membracidae","Aconophora"
"131","Aconophora laminata",14,"https://www.gbif.org/species/2023726",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Membracidae","Aconophora"
"132","Aconophora mexicana",2,"https://www.gbif.org/species/2023727",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Membracidae","Aconophora"
"133","Acraea parapheles",2,"https://www.gbif.org/species/11616759",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Acraea"
"134","Acritus ignobilis",1,"https://www.gbif.org/species/5993931",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Histeridae","Acritus"
"135","Acrobolbus laxus",39,"https://www.gbif.org/species/9629948",NA,"Plantae","Marchantiophyta","Jungermanniopsida","Jungermanniales","Acrobolbaceae","Acrobolbus"
"136","Acroceras zizanioides",7,"https://www.gbif.org/species/4139637",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Acroceras"
"137","Acrocinus longimanus",19,"https://www.gbif.org/species/1118064",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Acrocinus"
"138","Acrocomia aculeata",1,"https://www.gbif.org/species/2739148","https://catalogo.biodiversidad.co/file/56cd1fec207ecea54a561e62/summary","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Acrocomia"
"139","Acrolejeunea torulosa",13,"https://www.gbif.org/species/5286328",NA,"Plantae","Marchantiophyta","Jungermanniopsida","Porellales","Lejeuneaceae","Acrolejeunea"
"140","Acroleucus daedalus",2,"https://www.gbif.org/species/9179227",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Lygaeidae","Acroleucus"
"141","Acroleucus nigellus",1,"https://www.gbif.org/species/8909250",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Lygaeidae","Acroleucus"
"142","Acroleucus nobilis",5,"https://www.gbif.org/species/8819536",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Lygaeidae","Acroleucus"
"143","Acromis sparsa",2,"https://www.gbif.org/species/5876133",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Acromis"
"144","Acromyrmex coronatus",3,"https://www.gbif.org/species/1320650",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Acromyrmex"
"145","Acromyrmex landolti",31,"https://www.gbif.org/species/1320702",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Acromyrmex"
"146","Acromyrmex octospinosus",16,"https://www.gbif.org/species/1320686",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Acromyrmex"
"147","Acromyrmex subterraneus",1,"https://www.gbif.org/species/1320644",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Acromyrmex"
"148","Acroporium pungens",21,"https://www.gbif.org/species/2680969",NA,"Plantae","Bryophyta","Bryopsida","Hypnales","Sematophyllaceae","Acroporium"
"149","Acropternis orthonyx",158,"https://www.gbif.org/species/2490975",NA,"Animalia","Chordata","Aves","Passeriformes","Rhinocryptidae","Acropternis"
"150","Acrostichum aureum",2,"https://www.gbif.org/species/2651706",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Acrostichum"
"151","Acrotaphus fasciatus",1,"https://www.gbif.org/species/1276132",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Acrotaphus"
"152","Actinodontium sprucei",1,"https://www.gbif.org/species/2669487",NA,"Plantae","Bryophyta","Bryopsida","Hookeriales","Pilotrichaceae","Actinodontium"
"153","Actinoplaca strigulacea",1,"https://www.gbif.org/species/3419967",NA,"Fungi","Ascomycota","Lecanoromycetes","Ostropales","Gomphillaceae","Actinoplaca"
"154","Actinote anteas",9,"https://www.gbif.org/species/1901001","https://catalogo.biodiversidad.co/file/56e718ac83c45700544e3eeb/summary","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Actinote"
"155","Actinote guatemalena",2,"https://www.gbif.org/species/1901076",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Actinote"
"156","Actinote pellenea",18,"https://www.gbif.org/species/1901195",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Actinote"
"157","Actinote stratonice",10,"https://www.gbif.org/species/1901189",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Actinote"
"158","Actinote thalia",3,"https://www.gbif.org/species/1901034",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Actinote"
"159","Actitis macularius",1837,"https://www.gbif.org/species/2481798","https://catalogo.biodiversidad.co/file/56bcf0f6f0106c67230e72e9/summary","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis"
"160","Acuscercus eudaldoleondiazi",2,"https://www.gbif.org/species/10809701",NA,"Animalia","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Acuscercus"
"161","Acutalis fusconervosa",49,"https://www.gbif.org/species/2024074",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Membracidae","Acutalis"
"162","Adalia bipunctata",1,"https://www.gbif.org/species/1043097",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Adalia"
"163","Adejeania vexatrix",1,"https://www.gbif.org/species/4294759",NA,"Animalia","Arthropoda","Insecta","Diptera","Tachinidae","Adejeania"
"164","Adelanthus aureomarginatus",3,"https://www.gbif.org/species/7903858",NA,"Plantae","Marchantiophyta","Jungermanniopsida","Jungermanniales","Adelanthaceae","Adelanthus"
"165","Adelanthus lindenbergianus",41,"https://www.gbif.org/species/8025317",NA,"Plantae","Marchantiophyta","Jungermanniopsida","Jungermanniales","Adelanthaceae","Adelanthus"
"166","Adelanthus pittieri",27,"https://www.gbif.org/species/8427371",NA,"Plantae","Marchantiophyta","Jungermanniopsida","Jungermanniales","Adelanthaceae","Adelanthus"
