"","Especie","Registros","GBIF","CBC","Reino","Filo","Clase","Orden","Familia","Género"
"121","Adiantum polyphyllum",1,"https://www.gbif.org/species/7335723",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum"
"122","Adiantum raddianum",7,"https://www.gbif.org/species/2651826","https://catalogo.biodiversidad.co/file/56ce5e683c16479905cba79e/summary","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum"
"123","Adiantum terminatum",1,"https://www.gbif.org/species/3747895",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum"
"124","Adiantum tetraphyllum",8,"https://www.gbif.org/species/2651840",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum"
"125","Adiantum tinctum",1,"https://www.gbif.org/species/7335423",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum"
"126","Adphytocoris longilineus",2,"https://www.gbif.org/species/8316739",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Miridae","Adphytocoris"
"127","Aechmea angustifolia",14,"https://www.gbif.org/species/2698642",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Aechmea"
"128","Aechmea gamosepala",2,"https://www.gbif.org/species/2698108",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Aechmea"
"129","Aechmea penduliflora",1,"https://www.gbif.org/species/2697887",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Aechmea"
"130","Aechmea tillandsioides",1,"https://www.gbif.org/species/2698327",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Aechmea"
"131","Aedeomyia squamipennis",2,"https://www.gbif.org/species/1649397",NA,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedeomyia"
"132","Aedes fulvus",1,"https://www.gbif.org/species/1652400",NA,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes"
"133","Aedes serratus",1,"https://www.gbif.org/species/1652183",NA,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes"
"134","Aegidinus candezei",4,"https://www.gbif.org/species/1072736",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Aegidinus"
"135","Aegiphila bogotensis",4,"https://www.gbif.org/species/7308057",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Aegiphila"
"136","Aegiphila cordata",1,"https://www.gbif.org/species/7308032",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Aegiphila"
"137","Aegiphila elata",4,"https://www.gbif.org/species/2925469",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Aegiphila"
"138","Aegiphila filipes",1,"https://www.gbif.org/species/3892742",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Aegiphila"
"139","Aegiphila integrifolia",29,"https://www.gbif.org/species/2925468",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Aegiphila"
"140","Aegiphila laeta",2,"https://www.gbif.org/species/3892099",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Aegiphila"
"141","Aegiphila lehmannii",2,"https://www.gbif.org/species/3891988",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Aegiphila"
"142","Aegiphila martinicensis",1,"https://www.gbif.org/species/2925466",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Aegiphila"
"143","Aegiphila membranacea",2,"https://www.gbif.org/species/7307854",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Aegiphila"
"144","Aegiphila mollis",1,"https://www.gbif.org/species/7307838",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Aegiphila"
"145","Aegiphila racemosa",1,"https://www.gbif.org/species/7307705",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Aegiphila"
"146","Aegiphila truncata",2,"https://www.gbif.org/species/3890264",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Aegiphila"
"147","Aegopsis curvicornis",9,"https://www.gbif.org/species/1074209",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Aegopsis"
"148","Aequidens tetramerus",1,"https://www.gbif.org/species/5208316",NA,"Animalia","Chordata",NA,"Perciformes","Cichlidae","Aequidens"
"149","Aeria eurimedia",1,"https://www.gbif.org/species/5133581",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aeria"
"150","Aerolindigia capillacea",3,"https://www.gbif.org/species/2680050",NA,"Plantae","Bryophyta","Bryopsida","Hypnales","Brachytheciaceae","Aerolindigia"
"151","Aeronautes montivagus",183,"https://www.gbif.org/species/2477116",NA,"Animalia","Chordata","Aves","Apodiformes","Apodidae","Aeronautes"
"152","Aeschynomene americana",7,"https://www.gbif.org/species/2949235",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Aeschynomene"
"153","Aeschynomene pratensis",1,"https://www.gbif.org/species/2949219",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Aeschynomene"
"154","Aeschynomene rudis",2,"https://www.gbif.org/species/2949399",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Aeschynomene"
"155","Aeschynomene sensitiva",1,"https://www.gbif.org/species/2949316",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Aeschynomene"
"156","Aeschynomene villosa",1,"https://www.gbif.org/species/2949366",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Aeschynomene"
"157","Aetalion basale",4,"https://www.gbif.org/species/9249931",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Aetalionidae","Aetalion"
"158","Aetalion fissum",1,"https://www.gbif.org/species/9420074",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Aetalionidae","Aetalion"
"159","Aetanthus andreanus",2,"https://www.gbif.org/species/4003846",NA,"Plantae","Tracheophyta","Magnoliopsida","Santalales","Loranthaceae","Aetanthus"
"160","Aetanthus colombianus",9,"https://www.gbif.org/species/4003796",NA,"Plantae","Tracheophyta","Magnoliopsida","Santalales","Loranthaceae","Aetanthus"
"161","Aetanthus mutisii",21,"https://www.gbif.org/species/4003577","https://catalogo.biodiversidad.co/file/56c40af2f0106c67230e7376/summary","Plantae","Tracheophyta","Magnoliopsida","Santalales","Loranthaceae","Aetanthus"
"162","Aetheolaena otophora",42,"https://www.gbif.org/species/3099439",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Aetheolaena"
"163","Aetheolaena patens",5,"https://www.gbif.org/species/3099484",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Aetheolaena"
"164","Aethilla memmius",1,"https://www.gbif.org/species/1945483",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Aethilla"
"165","Agalychnis terranova",1,"https://www.gbif.org/species/8623336",NA,"Animalia","Chordata","Amphibia","Anura","Phyllomedusidae","Agalychnis"
"166","Agamia agami",14,"https://www.gbif.org/species/2480836",NA,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Agamia"
